case_id,isrid_id,ipp_lat,ipp_lon,find_lat,find_lon,category,terrain,region,dist_km_published,dist_km_computed,usable
Arizona01,US-AZ0279,31.33446668,-109.81855,31.41008333,-109.8383333,Hiker,Mountainous,Arizona,5.392022246,8.6154,True
Arizona02,US-AZ0030,31.37999999,-109.8858334,31.3721,-109.9191,Dementia,Flat,Arizona,2.360740935,3.2781,True
Arizona03,US-AZ0060,31.39708335,-111.2064333,31.40633332,-111.1968333,Hiker,Flat,Arizona,0.920436843,1.3741,True
Arizona04,US-AZ0019,31.42903334,-110.2932833,31.42951667,-110.3041167,Hiker,Flat,Arizona,0.748752659,1.0293,True
Arizona05,US-AZ0003,31.43493334,-110.2323333,31.39535001,-110.1093333,Mental Retardation,Flat,Arizona,8.92172685,12.4744,False
Arizona06,US-AZ0258,31.47053334,-110.1897833,31.52950001,-110.1289833,Mental Retardation,Flat,Arizona,5.838118615,8.7304,True
Arizona07,US-AZ0196,31.50571667,-110.6762167,31.51000001,-110.6533333,Hiker,Mountainous,Arizona,1.607238716,2.221,True
Arizona08,,31.70055002,-109.4981667,31.70055002,-109.6648333,Child,Flat,Arizona,11.50783333,15.7676,False
Arizona09,US-AZ0080,31.72261664,-110.1878333,31.74176668,-110.1917833,Hiker,Flat,Arizona,1.285928794,2.1619,True
Arizona10,US-AZ0161,31.74216665,-111.0135,31.78933334,-111.0201667,Mental Retardation,Flat,Arizona,3.09390451,5.2824,True
Arizona11,US-AZ0221,31.83521665,-110.3567,31.86226667,-110.39655,Hiker,Mountainous,Arizona,3.231962613,4.8182,True
Arizona12,US-AZ0156,31.85073331,-109.4219333,31.86200002,-109.338,Hiker,Flat,Arizona,5.837909901,8.0256,True
Arizona13,US-AZ0018,31.90240002,-109.2784667,31.83949998,-109.2766667,Hiker,Flat,Arizona,3.903134824,6.9962,True
Arizona14,US-AZ0011,31.92245,-109.9673167,31.92148336,-110.0335833,Hiker,Flat,Arizona,4.575885381,6.2551,True
Arizona15,US-AZ0170,31.94159997,-109.83255,31.93203335,-109.776,Mental Retardation,Flat,Arizona,3.946416803,5.4413,True
Arizona16,US-AZ0003,31.43493334,-110.2323333,31.39535001,-110.1093333,Mental Retardation,Flat,Arizona,8.92172685,12.4744,False
Arizona17,,33.97181664,-109.0950333,34.13733333,-109.066,Camper,Mountainous,Arizona,10.21191431,18.598,False
Arizona18,,33.82119999,-109.1491833,33.80291665,-109.1465833,Child,Mountainous,Arizona,0.944799775,2.0472,True
Arizona19,,34.45878334,-111.2508833,34.44531666,-111.3221,Hiker,Flat,Arizona,5.003480541,6.6995,True
Arizona20,US-AZ0011,31.92245,-109.9673167,31.92148336,-110.0335833,Hiker,Flat,Arizona,4.575885381,6.2551,True
Arizona21,US-AZ0018,31.90240002,-109.2784667,31.83949998,-109.2766667,Hiker,Flat,Arizona,3.903134824,6.9962,True
Arizona22,US-AZ0019,31.42903334,-110.2932833,31.42951667,-110.3041167,Hiker,Flat,Arizona,0.748752659,1.0293,True
Arizona23,,34.55,-111.6333333,34.55,-111.6166667,Hiker,Mountainous,Arizona,1.150783333,1.5264,True
Arizona24,,34.65,-112.5,34.65186666,-112.4962333,Dementia,Flat,Arizona,0.290012634,0.4022,True
Arizona25,,34.6,-112.55,34.63333333,-112.6333333,Hiker,Flat,Arizona,6.195664278,8.4789,True
Arizona26,US-AZ0030,31.37999999,-109.8858334,31.3721,-109.9191,Dementia,Flat,Arizona,2.360740935,3.2781,True
Arizona27,,34.25450001,-111.3086667,34.26749999,-110.3376667,Mental Retardation,Flat,Arizona,67.05013274,89.2469,False
Arizona28,,34.82166665,-111.8066667,34.81833331,-111.7983334,Hiker,Flat,Arizona,0.616831834,0.8462,True
Arizona29,,33.39750001,-111.3478333,33.41566668,-111.365,Hiker,Mountainous,Arizona,1.290888519,2.5729,True
Arizona30,,32.64609998,-109.8158167,32.65335,-109.80485,Mental Retardation,Flat,Arizona,0.775096701,1.3054,True
Arizona31,,33.70541668,-111.33805,33.67915001,-111.31695,Hiker,Mountainous,Arizona,1.872345642,3.513,True
Arizona32,,33.70541668,-111.33805,33.67915001,-111.31695,Hiker,Mountainous,Arizona,1.872345642,3.513,True
Arizona33,,34.63499997,-111.5466667,34.63499997,-111.5466667,Vehicle-4wd,Flat,Arizona,9.81217e-13,0.0,False
Arizona34,,33.96816667,-111.9348333,33.96816667,-111.9348333,Vehicle-4wd,Mountainous,Arizona,0.0,0.0,False
Arizona35,US-AZ0060,31.39708335,-111.2064333,31.40633332,-111.1968333,Hiker,Flat,Arizona,0.920436843,1.3741,True
Arizona36,,32.01088333,-109.8509833,32.10883334,-109.8509833,Despondent,Flat,Arizona,5.408774919,10.8916,True
Arizona37,,34.15116666,-109.8896667,34.1517,-109.9133,Hunter,Flat,Arizona,1.632160578,2.1756,True
Arizona38,,32.40750001,-110.825,32.40750001,-110.825,Hiker,Mountainous,Arizona,0.0,0.0,False
Arizona39,,34.89333331,-111.8633333,34.90666669,-111.8760333,Hiker,Mountainous,Arizona,1.233257392,1.8814,True
Arizona40,,34.94833336,-111.795,34.94666665,-111.795,Hiker,Flat,Arizona,0.106440269,0.1853,True
Arizona41,US-AZ0080,31.72261664,-110.1878333,31.74176668,-110.1917833,Hiker,Flat,Arizona,1.285928794,2.1619,True
Arizona42,,33.39733334,-111.348,33.44166667,-111.3676667,Hiker,Flat,Arizona,1.868715657,5.2567,True
Arizona43,,34.63041668,-112.5553,34.62723331,-112.5457666,Hiker,Flat,Arizona,0.693802398,0.9414,True
Arizona44,,35.26088333,-113.9805833,35.18688334,-113.3651,Mental Retardation,Mountainous,Arizona,42.68665145,56.5101,False
Arizona45,,34.15995,-112.45995,34.15100001,-112.4788,Vehicle,Flat,Arizona,1.420356168,1.9997,True
Arizona46,,32.74816666,-110.387,32.73283335,-110.3853167,Hunter,Flat,Arizona,0.283021882,1.7122,True
Arizona47,,32.44718332,-109.8538666,32.49103333,-109.82405,Hunter,Flat,Arizona,2.546146597,5.6213,True
Arizona48,,32.56261667,-110.7051333,32.55876668,-110.7036833,Mental Retardation,Flat,Arizona,0.148632774,0.4492,True
Arizona49,,33.40944999,-111.2061833,33.34418332,-111.4271667,Horseback Rider,Mountainous,Arizona,15.35416859,21.7651,False
Arizona50,,34.55976664,-111.65395,34.54006666,-111.7034833,Hiker,Mountainous,Arizona,3.680676844,5.0376,True
Arizona51,,34.90286668,-111.8131333,34.89183331,-111.8048167,Hiker,Flat,Arizona,0.919585095,1.4424,True
Arizona52,,32.36833334,-110.7166667,32.37233334,-110.7181667,Climber,Flat,Arizona,0.190312618,0.4666,True
Arizona53,,32.44043334,-110.7910667,32.45033334,-110.8168333,Mountain Biker,Mountainous,Arizona,1.813640714,2.6567,True
Arizona54,,34.61666667,-112.8,34.54183331,-112.7815333,Vehicle-4wd,Flat,Arizona,5.320834899,8.4911,True
Arizona55,,34.86666667,-111.8833333,34.86666667,-111.8,Hiker,Flat,Arizona,5.753916667,7.6028,True
Arizona56,,34.84249999,-109.2758333,34.8197333,-109.3030667,Child,Flat,Arizona,2.413818671,3.5479,True
Arizona57,,32.26666667,-110.7916667,32.26966667,-110.7926667,Autistic,Flat,Arizona,0.152846284,0.3466,True
Arizona58,,32.43543332,-110.7893333,32.42883333,-110.7943333,Hiker,Mountainous,Arizona,0.420445365,0.8711,True
Arizona59,,32.40916665,-110.7098333,32.40083332,-110.6923333,Hiker,Flat,Arizona,1.248998192,1.8862,True
Arizona60,,32.29733334,-110.2794,32.31533333,-110.3025,Hunter,Flat,Arizona,1.776315762,2.9528,True
Arizona61,,34.51823333,-114.2821667,34.51666667,-114.25,ATV,Flat,Arizona,2.223640674,2.9522,True
Arizona62,,35.16326666,-114.3189333,35.11666667,-114.4333333,Motorcycle,Flat,Arizona,8.34351153,11.6215,True
Arizona63,,35.54000003,-111.9583333,35.54666665,-111.9683333,Hunter,Flat,Arizona,0.735766308,1.1697,True
Arizona64,,35.33068333,-111.7110833,35.33423335,-111.6975,Hiker,Flat,Arizona,0.954101569,1.2939,True
Arizona65,,34.18046667,-109.3044667,34.24506667,-109.3257667,Child,Flat,Arizona,4.448146004,7.4454,True
Arizona66,,34.18046667,-109.3044667,34.24506667,-109.3257667,Youth,Flat,Arizona,4.448146004,7.4454,True
Arizona67,,35.0334,-111.2949833,35.58833332,-111.2394167,Mental Retardation,Flat,Arizona,28.21027839,61.9115,False
Arizona68,,35.9,-114.4,35.91666667,-114.0833333,Worker,Flat,Arizona,21.8663253,28.5801,False
Arizona69,,32.41666667,-110.9333333,32.37083333,-110.9758333,Autistic,Flat,Arizona,3.426202367,6.4728,True
Arizona70,,35.09275,-112.4393,35.08423333,-112.4337167,Child,Flat,Arizona,0.636988199,1.0747,True
Arizona71,,35.1,-113.55,35.16666667,-113.7,ATV,Flat,Arizona,11.05327273,15.5247,False
Arizona72,,32.0695,-110.0718333,35.16243334,-111.5408833,Aircraft,Flat,Arizona,161.5106898,369.8305,False
Arizona73,,34.40413332,-112.42975,34.3949,-112.4288833,Child,Flat,Arizona,0.632428809,1.0298,True
Arizona74,,32.01236667,-109.3157167,31.99934998,-109.3078,Hiker,Flat,Arizona,0.925519267,1.6286,True
Arizona75,US-AZ0156,31.85073331,-109.4219333,31.86200002,-109.338,Hiker,Flat,Arizona,5.837909901,8.0256,True
Arizona76,,34.88683332,-111.784,34.90266666,-111.7868333,Hiker,Flat,Arizona,1.050052082,1.7795,True
Arizona77,,33.58235003,-111.2151333,33.59669997,-111.2027833,Dementia,Flat,Arizona,1.021132133,1.9633,True
Arizona78,,32.32366667,-111.0733333,32.31871665,-111.07295,Dementia,Flat,Arizona,0.212696875,0.5516,True
Arizona79,US-AZ0161,31.74216665,-111.0135,31.78933334,-111.0201667,Mental Retardation,Flat,Arizona,3.09390451,5.2824,True
Arizona80,,32.41976668,-110.7473333,32.36550001,-110.7758333,Hiker,Mountainous,Arizona,2.875997354,6.6009,True
Arizona81,,34.30129999,-112.10295,34.28333333,-112.05,Vehicle-4wd,Flat,Arizona,3.847056401,5.2586,True
Arizona82,,34.30129999,-112.10295,34.28333333,-112.05,Vehicle-4wd,Flat,Arizona,3.847056401,5.2586,True
Arizona83,,33.60398331,-112.5151167,33.5903333,-112.5228333,Hiker,Flat,Arizona,0.75879571,1.6777,True
Arizona84,US-AZ0170,31.94159997,-109.83255,31.93203335,-109.776,Mental Retardation,Flat,Arizona,3.946416803,5.4413,True
Arizona85,,32.44033333,-110.7910334,32.48291667,-110.8153333,Mountain Biker,Mountainous,Arizona,2.233303232,5.2553,True
Arizona86,,33.39680001,-111.34805,33.42150002,-111.3605,Hiker,Mountainous,Arizona,1.108083436,2.9797,True
Arizona87,,33.52603334,-111.3904833,33.52000001,-111.395,Hiker,Flat,Arizona,0.377577939,0.7908,True
Arizona88,,33.27266668,-112.5923333,33.26836665,-112.5911667,Aircraft,Mountainous,Arizona,0.115758837,0.4903,True
Arizona89,,32.33333333,-110.8528333,32.37150002,-110.8646667,Hiker,Mountainous,Arizona,1.762547064,4.3871,True
Arizona90,,32.33583333,-110.9101667,32.3665,-110.8801667,Hiker,Mountainous,Arizona,2.422952931,4.4237,True
Arizona91,,32.33699999,-110.9166667,32.35983334,-110.8976667,Hiker,Flat,Arizona,1.613535084,3.1035,True
Arizona92,,33.65670001,-114.4192167,33.61026669,-114.5182333,Substance Abuse,Flat,Arizona,7.104541095,10.5211,True
Arizona93,,35.26558334,-114.0267,35.29941667,-114.0836667,Dementia,Mountainous,Arizona,4.304536045,6.3946,True
Arizona94,,35.08133334,-111.0710833,35.08133334,-111.0710833,Hiker,Flat,Arizona,0.0,0.0,False
Arizona95,,33.25,-113.5093333,33.25,-113.5093333,Hiker,Flat,Arizona,0.0,0.0,False
Arizona96,US-AZ0196,31.50571667,-110.6762167,31.51000001,-110.6533333,Hiker,Mountainous,Arizona,1.607238716,2.221,True
Arizona97,,34.91666667,-111.8,34.96666667,-111.8666667,Hiker,Flat,Arizona,5.60656332,8.2363,True
Arizona98,,34.41985,-114.1983333,34.27661667,-114.0408333,Vehicle-4wd,Flat,Arizona,14.5550806,21.5113,False
Arizona99,,35.1938,-114.0570333,35.20871666,-114.13195,Hiker,Flat,Arizona,5.237960257,7.0062,True
Arizona100,,35.73811665,-114.3975833,35.7725167,-114.2564667,Worker,Flat,Arizona,9.782051474,13.296,False
Arizona101,,33.39715001,-111.3478833,33.42233334,-111.3514667,Hiker,Flat,Arizona,0.755480599,2.8199,True
Arizona102,,35.83560003,-112.0263833,35.82865003,-112.0532167,Gatherer,Flat,Arizona,1.858048146,2.5395,True
Arizona103,,33.39715001,-111.3478833,35.82865003,-112.0532167,Hiker,Flat,Arizona,174.5615921,277.9664,False
Arizona104,,32.85706666,-109.7643667,32.86378333,-109.7708167,Child,Mountainous,Arizona,0.449169276,0.9596,True
Arizona105,,33.37055,-111.1152167,33.37528334,-111.0891833,Hiker,Flat,Arizona,1.801734281,2.4741,True
Arizona106,,34.0927,-111.42465,34.06876667,-111.4359167,Hiker,Mountainous,Arizona,1.661584643,2.8564,True
Arizona107,US-AZ0221,31.83521665,-110.3567,31.86226667,-110.39655,Hiker,Mountainous,Arizona,3.231962613,4.8182,True
Arizona108,,34.87518336,-113.4748333,34.88164997,-113.4667833,Aircraft,Flat,Arizona,0.69890839,1.0278,True
Arizona109,,33.39720001,-111.3478667,33.47999999,-111.3725,Horseback Rider,Mountainous,Arizona,3.020747074,9.4864,True
Arizona110,,34.89366665,-111.5823333,34.90983334,-111.5875,Hunter,Flat,Arizona,1.109683305,1.8584,True
Arizona111,,35.24375,-111.5996667,35.23251667,-111.6015,Hiker,Mountainous,Arizona,0.615955272,1.2601,True
Arizona112,,36.9235,-111.4773333,36.9235,-111.4773333,Despondent,Flat,Arizona,0.0,0.0,False
Arizona113,,34.70491664,-113.6109166,34.86253332,-113.6262167,Vehicle,Flat,Arizona,10.65819337,17.5818,False
Arizona114,,34.35966667,-111.3271667,34.37199999,-111.3353333,Hunter,Flat,Arizona,1.00838162,1.5629,True
